Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
380714,CANAN ÖZCAN,2014,Veri madenciliğinin güvenlik uygulama alanları ve veri madenciliği ile sahtekarlık analizi,İstanbul Bilgi Üniversitesi,Türkçe,Yüksek Lisans,Hukuk = Law
318331,ÜMİT CAN KUMDERELİ,2012,Tıp bilişimi ve veri madenciliği uygulamaları: EEG sinyallerindeki epileptiform aktiviteye veri madenciliği yöntemlerinin uygulanması,Trakya Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Bilim ve Teknoloji = Science and Technology ; Biyoistatistik = Biostatistics
146984,ŞENOL ZAFER ERDOĞAN,2004,Veri madenciliği ve veri madenciliğinde kullanılan K-Means algoritmasının öğrenci veri tabanında uygulanması,İstanbul Üniversitesi,Türkçe,Yüksek Lisans,İşletme = Business Administration
855756,ESRA DEMİRAL,2024,Data mining studies on the whole genome sequence data of bacillus velezensis (eu07) in purpose of dsrna silence against phytophthora infestans,Muğla Sıtkı Koçman Üniversitesi,İngilizce,Yüksek Lisans,Biyoistatistik = Biostatistics ; Mikrobiyoloji = Microbiology ; Moleküler Tıp = Molecular Medicine
855628,AYŞE GÜNAY GÖKBEN,2024,The predictors of learners\' test scores in an online exam preparation system: An educational data mining approach,Orta Doğu Teknik Üniversitesi,İngilizce,Doktora,Eğitim ve Öğretim = Education and Training
875364,YASEMİN KALENDER,2024,Analysis of academic staff performance with data mining,İstanbul Kültür Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
876682,ESMA MUHEYNE DOĞAN,2024,A challenge to copyright: Text and data mining,İstanbul Medeniyet Üniversitesi,İngilizce,Yüksek Lisans,Hukuk = Law
792119,ELİFE ÖZTÜRK KIYAK,2023,Application of data mining techniques in software engineering,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
791986,CEREN ASILKEFELİ,2023,A practical implementation for big data mining and sentiment analysis,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
814067,HANDE DEMİROĞLU,2023,Estimation of success of energy efficieny support program applications for SME\'s with data mining,Galatasaray Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
797628,ELAMİN SALAHELDİN MOHAMED ELAMİN,2023,Using data mining technology to analyze traditional gold mining in Sudan,Karabük Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
786241,AZAL MOHSIN JUBOORI AL BAYATI,2023,Computer network traffic classification using data mining,Çankırı Karatekin Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
785154,ELAF SAEED JABER AL-YASIRI,2023,Prediction of students\' success employing data mining algorithms,Çankırı Karatekin Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
801669,ABDULQADER AL-KHAFAJİ,2023,Development of a group decision making method for ranking alternatives: Selection of most preferred data mining algorithm for a construction project,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,İnşaat Mühendisliği = Civil Engineering
751303,RUSLAN SALIM NASEEF HAMANDI,2022,Use data mining techniques to determine the evidence of ınfection with coronavirus \' Covid-19\' in Iraq,Kırşehir Ahi Evran Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
750048,UĞUR EJDER,2022,Data mining based on regularized convolutional neural network for time series: Financial prediction algorithm,Çukurova Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
740120,RAHMİ KAVAK,2022,Using data mining for analyzing effects of biomarkers on decision of depression levels,Çukurova Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
735968,MUSTAFA AADEL MASHJAL AL-ASADI,2022,A comparative study for football analytics with data mining and artificial intelligence techniques,Selçuk Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
733164,FERDA BALCI ÜNAL,2022,Data mining and knowledge discovery in education,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Bilim ve Teknoloji = Science and Technology ; Mühendislik Bilimleri = Engineering Sciences
720547,AYBÜKE KARA,2022,Prediction of venue entrance intensity by data mining methods,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
795945,MOHAMMED GHANIM FATHI AL-OBAIDI,2022,Data mining techniques for extraction and analysis of covid-19 data,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgi ve Belge Yönetimi = Information and Records Management
795943,AHMED KHALID MUSTAFA MUSTAFA,2022,Statistical data mining methods in facial emotion recognition,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgi ve Belge Yönetimi = Information and Records Management
774275,FARID BAGHERI,2022,Evaluating the successfulness of startup businesses by data mining techniques,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
769817,AMAL F A ISWIASI,2022,Data mining approach based on harris hawks optimization (HHO) algorithm for multiple sclerosis lesions segmentation on brain magnetic resonance images,Altınbaş Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
752858,CUMHUR KIZILKAYA,2022,Estimation of ship route using data mining techniques,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
663591,ESRA DURSUN,2021,Investigation of the candidate tumor suppressor  gene CTCF using multi-omics data mining,İstanbul Medipol Üniversitesi,İngilizce,Yüksek Lisans,Biyoistatistik = Biostatistics
714912,BARBAROS ŞENOCAK,2021,Data mining and machine learning applications in bank audit,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bankacılık = Banking ; Mühendislik Bilimleri = Engineering Sciences
668247,ALI MOHSIN AHMED AL-SABAAWI,2021,Adopting several models to alleviate sparsity and cold-start problems using data mining techniques for recommendation systems,Aksaray Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
682009,ALİ ABBAS HADI AL-SHUKRAWİ,2021,Scheduling data allocation in packet based wireless communication system using data mining,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering
663012,GÖKSU TÜYSÜZOĞLU,2021,Data mining and machine learning in environmental informatics,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
733436,HUSHAM SALMAN MOASI AL-ABBOODI,2021,Image segmentation using associated rule datamining technique,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
706338,CENGİZ KAYDIM,2021,Implementation of data mining algorithms on rock mechanics test data for knowledge discovery,Orta Doğu Teknik Üniversitesi,İngilizce,Yüksek Lisans,Maden Mühendisliği ve Madencilik = Mining Engineering and Mining
618436,HASAN M.HUSSEIN M.ALI NASSRULLAH,2020,Comparison of various algorithm for intrusion detection in data mining,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Bilim ve Teknoloji = Science and Technology
672307,RAYA MOHAMMED MAHMOOD,2020,Predicting students professional identity using datamining techniques,Altınbaş Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
652356,FİDAN ESER,2020,A data mining approach to predicting patient-based laser machine settings for kidney stone treatment operation,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
672765,MAALIM ABD ALI HASSAN ALJABERY,2020,Create and analyze new audiology data set and using data mining techniques to predict hearing aid factors for audiology patients(field of bioinformatics and healthcare system),Altınbaş Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
646994,RUKİYE NUR KAÇMAZ,2020,Mining colonoscopy images for abnormality detection,Abdullah Gül Üniversitesi,İngilizce,Doktora,Elektrik ve Elektronik Mühendisliği = Electrical and Electronics Engineering
621472,TANZER AKTAŞ,2020,An application for the evaluation of clustering analysis in data mining,İzmir Ekonomi Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
610960,YASEEN AHMED ALSUMAIDAEE,2019,Automatic malware detection using data mining techniques based on power spectral density (PSD),Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
575396,ARİF GÖRKEM ÖZER,2019,Recommender system construction using latent semantic analysis and data mining methods on e-commerce data,Orta Doğu Teknik Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
586522,BURAK TİMUROĞLU,2019,Evaluating learner satisfaction by using data mining in learning environments,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
600491,MOHAMMED BABIKER,2019,Data mining for web application attacks analysis,Eskişehir Teknik Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
571057,ÖZGE ÖZYAZAR,2019,Data mining applications for sustainable medical systems: A study on diabetes,Marmara Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
602661,KADRİYE ZEYNEP GÜLSOY ŞERİF,2019,Data mining for methane adsorption over metal organic frameworks in literature,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Kimya Mühendisliği = Chemical Engineering
550655,FATİH DEM,2019,Data mining anwendungen in entscheidungsunterstützungssystemen und ein  anwendungsbeispiel bei der personalauswahl,Marmara Üniversitesi,Almanca,Yüksek Lisans,İşletme = Business Administration
572974,GAMZE AKKURT,2019,Data mining for emotion recognition in speech,İzmir Ekonomi Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
599735,MUSTAFA BÜYÜKKEÇECİ,2019,Evaluation of the relationship between the stability of feature selection techniques and classification performance in data mining,Yaşar Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
553761,DERYA DİNLER,2019,Data mining for regional and graph-structured data objects,Orta Doğu Teknik Üniversitesi,İngilizce,Doktora,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
610969,ANAS NABEEL FALIH AL-SHAWI,2019,Hybrid data mining approach to predict the success of bank telemarketing,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilim ve Teknoloji = Science and Technology
599926,SEZER BAYSAL,2019,Review of sports data mining techniques,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,İstatistik = Statistics
557824,ÜMİT KILIÇ,2019,Classification of brain MR image data using data mining techniques,Adana Bilim ve Teknoloji Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
565519,GAMZE ÖZÇELİK,2019,Cloud-based data mining tool for big data,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Bilim ve Teknoloji = Science and Technology
571100,TAHA YİĞİT ALKAN,2019,Performance evaluation system for academic publications using data mining techniques,Akdeniz Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
577021,MELİH ÖDER,2019,Mining eyetracking data to characterise users and their patterns of use,Orta Doğu Teknik Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
599709,DENİZ ERASLAN,2019,Experimenting with some data mining techniques to establish pediatric reference intervals for clinical laboratory tests,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
675840,BARAA TAHA YASEEN YASEEN,2018,Detecting and classifying drug interaction using data mining techniques,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
522783,SEDEF ÇALI,2018,Development of a decision support tool for analytic customer relationship management integrating data mining and multi criteria decision making methods,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
516759,MÜGE AVŞAR,2018,Determination of the key financial ratios in the success of firms in different sectors through data mining,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,İstatistik = Statistics
511595,BILAL AL-RUBAIEE,2018,Data mining and an application in the open  education system of Anadolu University,Anadolu Üniversitesi,İngilizce,Yüksek Lisans,İstatistik = Statistics
520268,MUSTAFA ADIL FAYEZ FAYEZ,2018,Diagnoses of coronary heart disease (CHD) using data mining techniques based on classification,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
511317,UFUK DEMİR ALAN,2018,The server-based automatic fare collection and management system in public transport and analysis with data mining techniques,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
524983,ZEHRA BURDUR,2018,An analysis of pesticide use for cotton production through data mining:the case of Nazilli,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
513123,IZHAN FAKHRUZI,2018,Improving efficiency of the solutions for class imbalance problems using data mining techniques,Marmara Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
496290,PRATIWI EKA PUSPITA,2018,Data mining applications in a forklift distributor,Uludağ Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
518555,FETHİ ATA,2018,Understanding customer value using data mining applications: A case study of an insurance broker,İstanbul Arel Üniversitesi,İngilizce,Yüksek Lisans,Mühendislik Bilimleri = Engineering Sciences
610953,FARAH SARDOUK,2018,Using data mining for the classification of breast cancer,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
490091,MEMET MERHAD AY,2018,Improvement of classification performance for triple test using data mining approaches,Gaziantep Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
521910,AHMET CÜNEYT YAVUZ,2018,Clustering of divers using data mining techniques,Galatasaray Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
525223,BÜŞRA BOSTANCI,2018,Agricultural decision support system using data mining for farmers,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
510079,AYÇA KURNAZ TÜRKBEN,2018,Developing a data mining model for evaluating intrapreneurship in technoparks,Bahçeşehir Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
520263,KHALID ABDULWAHID KADHIM KADHIM,2018,Intrusion detection model based on data mining and machine learning,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
527330,GÖZDE KARADAĞ,2018,Prediction of production wastage via data mining,Yaşar Üniversitesi,İngilizce,Yüksek Lisans,Mühendislik Bilimleri = Engineering Sciences
519833,SEDA ÖZYAY,2018,Hidden failure factors analysis of software projects developed with agile project management by data mining techniques,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
527611,BEKİR POLAT,2018,Estimation of success of entrepreneurship projects with data mining,Gaziantep Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
477947,SATTAR RASOOL,2017,The estimation of climate parameters using data mining techniques,Fırat Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
472059,FATMA ÖZGE ERSÖYLEYEN,2017,Credit cardholders churn analysis using data mining methods,Yeditepe Üniversitesi,İngilizce,Yüksek Lisans,Bankacılık = Banking ; İşletme = Business Administration
459339,CENGİZHAN AÇIKEL,2017,Genomic modelling of bipolar disorders: Comparison of multifactor dimension reduction and classification-based data mining methods,Orta Doğu Teknik Üniversitesi,İngilizce,Doktora,Genetik = Genetics
495500,HAYDER ABDULABBAS WAHEED AL-BAYATI,2017,Identifying the factors influencing truancy and using data mining for prediction,Çankaya Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
474304,MERVE GAMZE YILDIZ,2017,Data mining for carbon dioxide adsorption over amine modified adsorbents from publications in literature,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Kimya Mühendisliği = Chemical Engineering
470698,MUYASAIER AIHAITI,2017,Application of data mining on medical diagnosis,Marmara Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
484042,DHULFIQAR SAAD JAAFAR GHAFFOORI,2017,Examination of wireless sensor data using traditional data mining algorithms,İstanbul Kemerburgaz Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
476213,MERVE ER KARA,2017,Data mining approach in supply chain risk management,Marmara Üniversitesi,İngilizce,Doktora,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
474891,OZAN KORKMAZ,2017,Data mining approach for direct marketing of banking products with profit/cost analysis,Orta Doğu Teknik Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
486713,AHMED SAMI ABDULLAH,2017,Management and assessment system for network attacks based on data mining techniques,Türk Hava Kurumu Üniversitesi,İngilizce,Yüksek Lisans,Bilim ve Teknoloji = Science and Technology
453533,MOHAMMED IBRAHIM MAHDI AL-AZZAWI,2017,Heart disease system prediction using data mining techniques,Türk Hava Kurumu Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
521736,ISAM KAREEM THAJEEL THAJEEL,2017,Improving ids alerts to improve the quality of the network security by using data mining techniques,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
491171,EZGİ DEMİR,2017,Data mining based decision support system using data warehouse,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
482416,JALE BEKTAŞ,2017,Use of data mining techniques to determine presence of coronary artery disease and deriving a risk score by employing risk factors,Çukurova Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
497859,NOOR ABDULKHALEQ ALAZZAWI,2017,Classification system ids alerts by using data mining technique,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
495927,HUSSEIN ALI AHMED AHMED,2017,Predicting the risk of seizing state lands using data mining techniques,Çankaya Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
497861,AZHAR HATEM JEBUR AL BAIDHANI,2017,Estimation of heart disease based on data mining using patients health database,Altınbaş Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
461677,FIRAS SHIHAB AHMED,2016,Using GLCM based on LBP/data mining tools for human identification through palm vein image,İstanbul Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
434002,DENNIS MOSKOV,2016,Knowledge extraction from published papers in literature for the catalytic methanol production from synthesis gas using data mining tools,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Kimya Mühendisliği = Chemical Engineering
442178,ÖZER ÖZDİKİŞ,2016,Spatiotemporal data mining for situation awareness in microblogs,Orta Doğu Teknik Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
438808,YASEN YAKUFU,2016,A data mining application on moving object data,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
424519,ABDULLAH ALRHMOUN,2016,Data mining approaches to drug repositioning to multiple diseases,Fatih Üniversitesi,İngilizce,Yüksek Lisans,Biyomühendislik = Bioengineering
442388,SUAT SEÇGİN,2016,Supporting managerial decisions using data mining: Evidence from telecommunication industry in Turkey,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
436122,ONUR KARLIDAĞ,2016,Electricity tariff usage prediction via data mining,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
444558,MILAD HASSANI,2016,Predicting drug synergy using data mining,Sabancı Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
436503,USMAN UMAR,2016,Evaluation of school administrators by using data mining techniques,Fırat Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
463549,AHMET FATİH ORTAKAYA,2016,A statistical approach to job matching problem via difference metrics and data mining,Orta Doğu Teknik Üniversitesi,İngilizce,Doktora,İstatistik = Statistics
436023,CÜNEYT BAHADIR,2015,Airline revenue management via data mining,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
386948,MAHMUT İĞDE,2015,Graph based concept discovery for multi relational data mining,Deniz Harp Okulu Komutanlığı,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
410570,PELİN YILDIRIM,2015,Implementation of data mining techniques in cloud computing,Dokuz Eylül Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
424344,AFRAH FAREA,2015,Privacy preserving data mining,İnönü Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Bilim ve Teknoloji = Science and Technology ; Mühendislik Bilimleri = Engineering Sciences
410522,YUNUS DOĞAN,2015,Data mining and knowledge discovery in medical information systems,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
392835,MERVE ARITÜRK,2015,Analysis of impact on ethical values of internet use: A data mining model approach,Bahçeşehir Üniversitesi,İngilizce,Yüksek Lisans,Bilim ve Teknoloji = Science and Technology ; Eğitim ve Öğretim = Education and Training
410669,MEHMET YAVUZ ONAT,2015,Anomaly detection in temporal data mining,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,İstatistik = Statistics
410528,AHMET CAN DİKER,2015,Usage of fuzzy logic based data mining methods in analysis of public transportation data,Dokuz Eylül Üniversitesi,İngilizce,Doktora,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control ; Ulaşım = Transportation ; İstatistik = Statistics
410501,MELTEM BAYSAL,2015,Knowledge extraction for the steam reforming of methane from the published papers in the literature using data mining techniques,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Kimya Mühendisliği = Chemical Engineering
406303,İNCİ ELİF SAĞLAM,2015,An integrated methodology with data mining techniques for retail industry,Yıldız Teknik Üniversitesi,İngilizce,Yüksek Lisans,Endüstri ve Endüstri Mühendisliği = Industrial and Industrial Engineering
395532,NADIA IBRAHIM NIFE DULAIMI,2015,Data mining using artificial neural network techniques,Çankaya Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
387458,NUHA SHAWAHNA,2015,Developing synergic data mining method for dicovering anomalies,Erciyes Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
410502,AYŞE NESLİHAN ŞENER,2015,Application of data mining tools to extract knowledge for dry reforming of methane from published papers in literature,Boğaziçi Üniversitesi,İngilizce,Yüksek Lisans,Kimya Mühendisliği = Chemical Engineering
374007,KADİR KAYA,2014,Application of data mining methods and techniques in airline industry,Dokuz Eylül Üniversitesi,İngilizce,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
