Tez No,Yazar,Yıl,Tez Adı,Üniversite,Dil,Tez Türü,Konu
727088,ERHAN KAVUNCUOĞLU,2022,Veri madenciliği teknikleri ile bulut bilişim tabanlı giyilebilir hareket tanı sistemi oluşturulması,Erciyes Üniversitesi,Türkçe,Doktora,Mühendislik Bilimleri = Engineering Sciences
718986,EZGİ DEMİRER POLAT,2022,Beyaz eşya sektöründe satış tahmini: Bir veri madenciliği uygulaması,Bursa Uludağ Üniversitesi,Türkçe,Yüksek Lisans,Ekonometri = Econometrics ; Ekonomi = Economics ; İşletme = Business Administration
720047,SİNAN MUHAMMET BEKMEZCİ,2022,"Likert tipi ölçeklerin yapı geçerliğinin veri madenciliği, yapay sinir ağları, faktör analizi ve Rasch modelleri ile incelenmesi",Hacettepe Üniversitesi,Türkçe,Doktora,Eğitim ve Öğretim = Education and Training
721726,YUSUF KASAP,2022,Veri madenciliği yöntemleri ile ülkelerin PISA başarı düzeylerini etkileyen değişkenlerin incelenmesi,Hacettepe Üniversitesi,Türkçe,Doktora,Eğitim ve Öğretim = Education and Training
722124,EMRAH BÜYÜKATAK,2022,PISA 2018 Türkiye örnekleminde okuma okuryazarlık düzeylerinin farklı veri madenciliği sınıflandırma yöntemleri ile incelenmesi,Hacettepe Üniversitesi,Türkçe,Doktora,Eğitim ve Öğretim = Education and Training
740920,YUNUS SANDIKÇI,2022,Pamuk üretim rekolte tahmini için veri madenciliği yöntemlerinin kullanılması: Şanlıurfa örneği,Harran Üniversitesi,Türkçe,Yüksek Lisans,Bilgisayar Mühendisliği Bilimleri-Bilgisayar ve Kontrol = Computer Engineering and Computer Science and Control
744052,AYLİN GÖKDEMİR,2022,Dijital ayak izine teknolojik determinist yaklaşım: Veri madenciliği yöntemiyle dijital verilerin kullanımı ve gözetim olgusu üzerine bir araştırma,İstanbul Aydın Üniversitesi,Türkçe,Yüksek Lisans,İletişim Bilimleri = Communication Sciences
678571,CİHAN ŞAHİN,2021,Veri madenciliği yaklaşımının yeni ürün geliştirme sürecinde kullanımı: Akıllı telefonlar üzerine bir uygulama,Karadeniz Teknik Üniversitesi,Türkçe,Doktora,İşletme = Business Administration
664312,FATMA ALTUNTAŞ,2021,Veri madenciliği temelli bir teknoloji zekâsı sürecinin geliştirilmesi: Yenilenebilir enerji teknolojileri üzerine bir uygulama,Gebze Teknik Üniversitesi,Türkçe,Doktora,Bilim ve Teknoloji = Science and Technology ; Enerji = Energy ; İşletme = Business Administration
697371,CİHAN ÇİFTÇİ,2021,Veri madenciliği ve makine öğrenmesi yöntemleri ile İstanbul trafiğinin analizi: D100 karayolu uygulaması,İstanbul Üniversitesi,Türkçe,Doktora,İşletme = Business Administration
697826,SERKAN ETİ,2021,Veri madenciliği ile markaların dijital pazarlama kanallarının performansının değerlendirilmesi üzerine bir uygulama,Marmara Üniversitesi,Türkçe,Doktora,İşletme = Business Administration
706716,KARDELEN YILMAZ,2021,Bağımsız denetimde veri madenciliği tekniklerinin kullanılması,Alanya Alaaddin Keykubat Üniversitesi,Türkçe,Yüksek Lisans,İşletme = Business Administration
668783,SABRİYE TOPAL,2021,Veri madenciliği tekniklerinin bitcoin piyasası öngörüsünde kullanımı,Giresun Üniversitesi,Türkçe,Yüksek Lisans,İşletme = Business Administration
